@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Customer {1,2}

@data
A12,A42,1
A14,A41,1
A12,A49,1
A14,A41,1
A14,A49,1
A12,A40,1
A11,A49,1
A14,A42,1
A14,A40,1
A12,A42,1
A13,A43,1
A14,A49,1
A14,A42,1
A14,A40,1
A14,A45,1
A11,A46,1
A12,A40,2
A11,A44,2
A14,A46,2
A12,A42,2
A11,A49,2
A12,A40,2
A12,A45,2
A11,A43,2
A12,A49,2
A11,A40,2
A12,A43,2
A11,A49,2
A12,A40,2
A14,A49,2
A11,A43,2
A14,A41,2
A14,A49,2
A12,A41,2
A14,A42,2
A11,A43,2
A11,A42,2
A14,A40,2
A11,A40,2
A12,A41,2
A12,A410,2
A12,A49,2
A12,A42,2
A12,A40,2
A11,A40,2
A12,A43,2
A11,A42,2
A12,A43,2
A11,A410,2
A12,A49,2
A11,A42,2
A11,A43,2
A11,A42,2
A11,A42,2
A14,A45,2
A11,A43,2
A11,A43,2
A14,A40,2
A12,A43,2
A11,A40,2
A14,A42,2
A12,A42,2
A11,A42,2
A11,A41,2
A14,A45,2
A14,A40,2
A12,A40,2
A12,A43,2
A11,A41,2
A12,A42,2
A11,A43,2
A12,A46,2
A14,A42,2
A12,A40,2
A14,A40,2
A12,A49,2
A12,A46,2
A13,A40,2
A12,A40,2
A12,A43,2
A12,A43,2
A11,A40,2
A11,A43,2
A11,A43,2
A12,A40,2
A12,A42,2
A11,A40,2
A11,A44,2
A11,A44,2
A12,A42,2
A11,A42,2
A11,A41,2
A11,A42,2
A11,A43,2
A11,A42,2
A12,A46,2
A11,A40,2
A12,A40,2
A11,A42,2
A12,A42,2
A12,A42,2
A12,A40,2
A12,A49,2
A11,A41,2
A12,A40,2
A14,A49,2
A14,A43,2
A11,A40,2
A11,A49,2
A12,A49,2
A14,A43,2
A12,A42,2
A12,A42,2
A11,A43,2
A12,A43,2
A12,A40,2
A11,A41,2
A12,A42,2
A13,A43,2
A14,A40,2
A11,A41,2
A11,A46,2
A12,A40,2
A14,A43,2
A13,A43,2
A12,A49,2
A12,A41,2
A11,A43,2
A12,A40,2
A11,A43,2
A11,A42,2
A11,A40,2
A12,A49,2
A14,A49,2
A14,A40,2
A14,A43,2
A11,A42,2
A12,A40,2
A12,A42,2
A12,A40,2
A14,A43,2
A11,A42,2
A12,A40,2
A12,A43,2
A11,A46,2
A11,A42,2
A12,A41,2
A14,A40,2
A12,A41,2
A11,A46,2
A11,A42,2
A12,A43,2
A12,A43,2
A11,A46,2
A14,A49,2
A11,A42,2
A11,A49,2
A11,A40,2
A14,A49,2
A14,A46,2
A12,A43,2
A11,A40,2
A12,A410,2
A12,A40,2
A11,A41,2
A11,A45,2
A12,A43,2
A14,A42,2
A11,A40,2
A13,A40,2
A12,A46,2
A12,A42,2
A12,A45,2
A11,A43,2
A12,A410,2
A12,A40,2
A11,A43,2
A12,A40,2
A12,A49,2
A11,A45,2
A12,A410,2
A14,A40,2
A11,A43,2
A12,A40,2
A11,A42,2
A12,A42,2
A11,A40,2
A11,A42,2
A13,A43,2
A12,A46,2
A11,A43,2
A11,A40,2
A11,A46,2
A11,A42,2
A11,A40,2
A12,A43,2
A11,A45,2
A11,A42,2
A14,A42,2
A13,A43,2
A11,A48,2
A11,A43,2
A14,A49,2
A14,A46,2
A11,A40,2
A11,A40,2
A12,A45,2
A11,A46,2
A11,A40,2
A14,A49,2
A12,A43,2
A11,A40,2
A11,A42,2
A14,A42,2
A12,A46,2
A11,A42,2
A14,A40,2
A11,A43,2
A11,A49,2
A14,A42,2
A11,A40,2
A14,A46,2
A12,A43,2
A11,A43,2
A11,A40,2
A11,A40,2
A11,A40,2
A11,A42,2
A14,A42,2
A12,A43,2
A12,A40,2
A14,A40,2
A11,A40,2
A11,A40,2
A12,A49,2
A11,A40,2
A13,A40,2
A11,A40,2
A11,A42,2
A12,A43,2
A12,A40,2
A11,A40,2
A11,A42,2
A11,A41,2
A12,A42,2
A11,A46,2
A11,A42,2
A12,A40,2
A12,A40,2
A13,A42,2
A11,A40,2
A12,A43,2
A11,A43,2
A11,A40,2
A11,A41,2
A12,A43,2
A11,A40,2
A11,A43,2
A12,A40,2
A11,A40,2
A12,A40,2
A13,A49,2
A11,A40,2
A11,A43,2
A11,A49,2
A13,A49,2
A12,A49,2
A11,A46,2
A12,A42,2
A11,A42,2
A12,A42,2
A11,A44,2
A12,A42,2
A11,A46,2
A11,A40,2
A11,A40,2
A14,A42,2
A11,A40,2
A11,A43,2
A14,A49,2
A12,A49,2
A11,A40,2
A14,A49,2
A11,A40,2
A12,A40,2
A11,A42,2
